"","metadata","value","coef","stderr","N","N.not.0","pval","qval","Site","ID","pwy","Type","pheno_Count","pair"
"1","Age","Age",-0.301166627214955,0.0835742973263833,394,392,0.000397905651342455,0.0228737866227462,"Ac","COA-PWY","coenzyme A biosynthesis I","conserved",NA,"COA-PWY-Age"
"2","Age","Age",-0.316515333951309,0.0878352568762792,394,391,0.000398049139027548,0.0228737866227462,"Ac","PWY-4242","pantothenate and coenzyme A biosynthesis III","conserved",NA,"PWY-4242-Age"
"3","Age","Age",-0.280542851147063,0.0778687969903174,394,394,0.000399542124414781,0.0228737866227462,"Ac","PWY-6609","adenine and adenosine salvage III","conserved",NA,"PWY-6609-Age"
"4","Antibiotic_use_in_the_last_month","Yes",-0.527274699712057,0.186593920810363,394,391,0.00521512504756302,0.0285156504474465,"Ac","PWY-5686","UMP biosynthesis","conserved",12,"PWY-5686-Antibiotic_use_in_the_last_month"
"5","Antibiotic_use_in_the_last_month","Yes",-0.605572954846347,0.21849988820206,394,387,0.00612896180110084,0.0321219546340961,"Ac","PWY-6163","chorismate biosynthesis from 3-dehydroquinate","conserved",12,"PWY-6163-Antibiotic_use_in_the_last_month"
"6","Antibiotic_use_in_the_last_month","Yes",-0.808224040170178,0.293250639927861,394,388,0.00642098081879206,0.0334182865341678,"Ac","ARGSYNBSUB-PWY","L-arginine biosynthesis II (acetyl cycle)","conserved",12,"ARGSYNBSUB-PWY-Antibiotic_use_in_the_last_month"
"7","Antibiotic_use_in_the_last_month","Yes",-0.419447531629838,0.159316113066725,394,391,0.00915605452647869,0.0446451001003042,"Ac","PWY-3001","superpathway of L-isoleucine biosynthesis I","conserved",12,"PWY-3001-Antibiotic_use_in_the_last_month"
"8","Antibiotic_use_in_the_last_month","Yes",-0.53957172852021,0.208277417735353,394,387,0.0103191367105567,0.0476427884418846,"Ac","ARO-PWY","chorismate biosynthesis I","conserved",12,"ARO-PWY-Antibiotic_use_in_the_last_month"
"9","Antibiotic_use_in_the_last_month","Yes",-0.500992900122331,0.193359943391326,394,387,0.0103097047361464,0.0476427884418846,"Ac","COMPLETE-ARO-PWY","superpathway of aromatic amino acid biosynthesis","conserved",12,"COMPLETE-ARO-PWY-Antibiotic_use_in_the_last_month"
"10","Body_odor_trunk","Yes",-1.63194160416259,0.620053055067421,394,385,0.00918576822607214,0.0463335005235797,"Ac","PWY0-1586","peptidoglycan maturation (meso-diaminopimelate containing)","conserved",5,"PWY0-1586-Body_odor_trunk"
"11","Body_sites_affected_by_eczema","Face and scalp",-0.62500598225056,0.179465321241198,394,391,0.000618895412893392,0.0161053465400667,"Ac","PWY-7208","superpathway of pyrimidine nucleobases salvage","conserved",6,"PWY-7208-Body_sites_affected_by_eczema"
"12","Current_or_past_acne_severity","Mild",0.307294635083221,0.09841326725554,394,387,0.00207295119842765,0.0209941628039599,"Ac","1CMET2-PWY","N10-formyl-tetrahydrofolate biosynthesis","conserved",77,"1CMET2-PWY-Current_or_past_acne_severity"
"13","Currently_undergoing_skin_medical_treament","Yes",-1.10499430610874,0.284842120070297,394,390,0.000144595826291949,0.00247107792692958,"Ac","PWY-6936","seleno-amino acid biosynthesis","conserved",8,"PWY-6936-Currently_undergoing_skin_medical_treament"
"14","Currently_undergoing_skin_medical_treament","Yes",-1.32666581815145,0.440588790183158,394,384,0.00295860366745322,0.0206561048733777,"Ac","PWY-7663","gondoate biosynthesis (anaerobic)","conserved",8,"PWY-7663-Currently_undergoing_skin_medical_treament"
"15","Ethnicity","South East Asian",2.15408881960093,0.424943026219397,394,364,9.23842823671367e-07,0.000423120013241486,"Ac","LACTOSECAT-PWY","lactose and galactose degradation I","variable",40,"LACTOSECAT-PWY-Ethnicity"
