"","Site","Predictor","Category","Count","ReferenceGroup","Term","EffectSize","p_Value","New_column_names","Column_Category","Column_Subcategory","Data_type","Formatted_Predictor","Column_Category_2","PValue"
"1","Fo","Irritation_itching_1_to_10","NotApplicable",999,"NotApplicable","Irritation_itching_1_to_10",0.294857553280298,0.000261485138193196,"Irritation_itching_1_to_10","SkinIrritation","General","Numeric","Irritation itching 1 to 10","SkinSubclinical",0.0248410881283536
"2","Ps","Hair_covering_frequency_Daily","1",28,"0","Hair_covering_frequency_Daily1",1.53087558958457,0.000408164510741432,"Hair_covering_frequency","SkinBehavior","Scalp","Character","Hair covering frequency (Daily)","SkinBehavior",0.038775628520436
"3","Vf","Face_wash_last_time_Yesterday_evening","1",17,"0","Face_wash_last_time_Yesterday_evening1",1.97060276164568,0.000413941761911811,"Face_wash_last_time","SkinBehavior","Face","Character","Face wash last time (Yesterday evening)","SkinBehavior",0.039324467381622
"4","Vf","Face_wash_last_time_This_morning","1",178,"0","Face_wash_last_time_This_morning1",-1.7760111122599,0.00107297077886013,"Face_wash_last_time","SkinBehavior","Face","Character","Face wash last time (This morning)","SkinBehavior",0.0509661119958561
"5","Ch","Current_skin_condition_severity_Moderate","1",16,"0","Current_skin_condition_severity_Moderate1",1.66314209134745,0.0020494641741392,"Current_skin_condition_severity","SkinCondition","General","Character","Current skin condition severity (Moderate)","SkinDisease",0.0752663544140604
"6","Ch","Gender_Female","1",102,"0","Gender_Female1",1.29682289899729,0.00175532223621362,"Gender","Demographic","Demographics","Character","Gender (Female)","Demographic",0.0752663544140604
"7","Ch","Currently_have_skin_conditions_not_described_above_Yes","1",170,"0","Currently_have_skin_conditions_not_described_above_Yes1",-1.27639869029667,0.00385919855235037,"Currently_have_skin_conditions_not_described_above","SkinCondition","General","Character","Currently have skin conditions not described above","SkinDisease",0.0752663544140604
"8","Ch","Suffered_from_dry_skin_in_the_last_year_Yes","1",52,"0","Suffered_from_dry_skin_in_the_last_year_Yes1",1.11841491596388,0.00334892602305285,"Suffered_from_dry_skin_in_the_last_year","SkinDry","General","Character","Suffered from dry skin in the last year","SkinSubclinical",0.0752663544140604
"9","Ch","Hair_chemical_treatment_last_time_>_1_week_ago","``1",71,"0","`Hair_chemical_treatment_last_time_>_1_week_ago`1",1.06944091133866,0.00414187632129349,"Hair_chemical_treatment_last_time","SkinBehavior","Scalp","Character","Hair chemical treatment last time (> 1 week ago)","SkinBehavior",0.0752663544140604
"10","Ch","Hair_chemical_treatment_Yes","1",82,"0","Hair_chemical_treatment_Yes1",1.04387225555798,0.00554594190419393,"Hair_chemical_treatment","SkinBehavior","Scalp","Character","Hair chemical treatment","SkinBehavior",0.0752663544140604
"11","Ch","Irritation_itching_1_to_10","NotApplicable",999,"NotApplicable","Irritation_itching_1_to_10",0.220602840302412,0.00476068714082714,"Irritation_itching_1_to_10","SkinIrritation","General","Numeric","Irritation itching 1 to 10","SkinSubclinical",0.0752663544140604
"12","Fo","Irritation_tauntness_1_to_10","NotApplicable",999,"NotApplicable","Irritation_tauntness_1_to_10",0.545556807214504,0.0019092519193823,"Irritation_tauntness_1_to_10","SkinIrritation","General","Numeric","Irritation tauntness 1 to 10","SkinSubclinical",0.0906894661706594
"13","Ps","Sensitive_skin_overall_Yes","1",68,"0","Sensitive_skin_overall_Yes1",1.09941711768517,0.00244022750518403,"Sensitive_skin_overall","SkinSensitivity","General","Character","Sensitive skin overall","SkinSubclinical",0.115910806496241
"14","Ch","Currently_have_a_skin_condition_Yes","1",35,"0","Currently_have_a_skin_condition_Yes1",1.05779029414796,0.0112307433140022,"Currently_have_a_skin_condition","SkinCondition","General","Character","Currently have a skin condition","SkinDisease",0.133365076853776
"15","Ub","Sensitive_scalp_Yes","1",16,"0","Sensitive_scalp_Yes1",1.59240477987703,0.00366221314317236,"Sensitive_scalp","SkinSensitivity","Scalp","Character","Sensitive scalp","SkinSubclinical",0.186851618832585
"16","Ub","Hair_wash_last_time_Yesterday_morning","1",17,"0","Hair_wash_last_time_Yesterday_morning1",1.48069503654077,0.00590057743681848,"Hair_wash_last_time","SkinBehavior","Scalp","Character","Hair wash last time (Yesterday morning)","SkinBehavior",0.186851618832585
"17","Ub","Gender_Female","1",103,"0","Gender_Female1",1.20650125067922,0.00572898941261394,"Gender","Demographic","Demographics","Character","Gender (Female)","Demographic",0.186851618832585
"18","Fo","Itchy_arms_Yes","1",26,"0","Itchy_arms_Yes1",1.29024861671531,0.00617520666800972,"Itchy_arms","SkinItch","Arms","Character","Itchy arms","SkinSubclinical",0.195548211153641
"19","Ch","History_of_skin_medical_treatment_Yes","1",46,"0","History_of_skin_medical_treatment_Yes1",0.897639615249027,0.0221330928420298,"History_of_skin_medical_treatment","SkinTreatment","General","Character","History of skin medical treatment","SkinDisease",0.210264381999283
"20","Ch","TEWL_forearm","NotApplicable",999,"NotApplicable","TEWL_forearm",-0.375476479127458,0.0206799885494522,"TEWL_forearm","SkinPhysio","Forearm","Numeric","TEWL forearm","SkinPhysio",0.210264381999283
"21","Ch","Sebum_cheek","NotApplicable",999,"NotApplicable","Sebum_cheek",-0.0439595407802671,0.0246589739627768,"Sebum_cheek","SkinPhysio","Cheek","Numeric","Sebum cheek","SkinPhysio",0.212963866042163
"22","Ps","Hair_length_>_5cm","``1",127,"0","`Hair_length_>_5cm`1",1.18168987018487,0.00809735941570297,"Hair_length","SkinBehavior","Scalp","Character","Hair length (> 5cm)","SkinBehavior",0.23198399968908
"23","Ps","Irritation_tingling_1_to_10","NotApplicable",999,"NotApplicable","Irritation_tingling_1_to_10",0.490271663259074,0.0097677473553297,"Irritation_tingling_1_to_10","SkinIrritation","General","Numeric","Irritation tingling 1 to 10","SkinSubclinical",0.23198399968908
"24","Ub","Itchy_scalp_Yes","1",11,"0","Itchy_scalp_Yes1",1.60324594218614,0.0122760044795424,"Itchy_scalp","SkinItch","Scalp","Character","Itchy scalp","SkinSubclinical",0.253041494244248
"25","Ub","Hair_covering_frequency_Daily","1",28,"0","Hair_covering_frequency_Daily1",1.11450365600332,0.0159815680575314,"Hair_covering_frequency","SkinBehavior","Scalp","Character","Hair covering frequency (Daily)","SkinBehavior",0.253041494244248
"26","Ub","Routinely_use_moisturizers_Yes","1",97,"0","Routinely_use_moisturizers_Yes1",0.992757798552222,0.0159358954615376,"Routinely_use_moisturizers","SkinBehavior","General","Character","Routinely use moisturizers","SkinBehavior",0.253041494244248
"27","Ps","Sensitive_other_site_Yes","1",12,"0","Sensitive_other_site_Yes1",1.50407739677627,0.0133201153829187,"Sensitive_other_site","SkinSensitivity","Other_site","Character","Sensitive other site","SkinSubclinical",0.253082192275456
"28","Ch","Currently_have_fungal_FeetBodyGroin_Yes","1",12,"0","Currently_have_fungal_FeetBodyGroin_Yes1",1.23474446797309,0.0453365163762296,"Currently_have_fungal_FeetBodyGroin","SkinCondition","General","Character","Currently have fungal FeetBodyGroin","SkinDisease",0.287131270382787
"29","Ch","Hair_length_>_5cm","``1",126,"0","`Hair_length_>_5cm`1",0.872026391667276,0.0428492642738225,"Hair_length","SkinBehavior","Scalp","Character","Hair length (> 5cm)","SkinBehavior",0.287131270382787
"30","Ch","Hair_chemical_treatment_location_Non-professional","``1",44,"0","`Hair_chemical_treatment_location_Non-professional`1",0.820442773085419,0.039347934422596,"Hair_chemical_treatment_location","SkinBehavior","Scalp","Character","Hair chemical treatment location (Non-professional)","SkinBehavior",0.287131270382787
"31","Ch","Ever_have_had_eczema_Yes","1",44,"0","Ever_have_had_eczema_Yes1",0.820442773085418,0.0393479344225963,"Ever_have_had_eczema","SkinCondition","General","Character","Ever have had eczema","SkinDisease",0.287131270382787
"32","Fo","Sensitive_arms_Yes","1",19,"0","Sensitive_arms_Yes1",1.05135940381781,0.0509160256487114,"Sensitive_arms","SkinSensitivity","Arms","Character","Sensitive arms","SkinSubclinical",0.287458031530272
"33","Fo","Ever_have_had_eczema_Yes","1",44,"0","Ever_have_had_eczema_Yes1",0.987386653479055,0.0181163767610393,"Ever_have_had_eczema","SkinCondition","General","Character","Ever have had eczema","SkinDisease",0.287458031530272
"34","Fo","Topical_antimicrobial_use_in_the_last_month_Yes","1",24,"0","Topical_antimicrobial_use_in_the_last_month_Yes1",0.95192281146699,0.0569152011511359,"Topical_antimicrobial_use_in_the_last_month","SkinTreatment","General","Character","Topical antimicrobial use in the last month","SkinDisease",0.287458031530272
"35","Fo","Itchy_legs_Yes","1",24,"0","Itchy_legs_Yes1",0.951922811466982,0.0569152011511383,"Itchy_legs","SkinItch","Legs","Character","Itchy legs","SkinSubclinical",0.287458031530272
"36","Fo","Routinely_use_moisturizers_Yes","1",97,"0","Routinely_use_moisturizers_Yes1",0.932992556166559,0.024315492210992,"Routinely_use_moisturizers","SkinBehavior","General","Character","Routinely use moisturizers","SkinBehavior",0.287458031530272
"37","Fo","Routinely_shave_bikine_line_Yes","1",47,"0","Routinely_shave_bikine_line_Yes1",0.875468737316084,0.0348059876318858,"Routinely_shave_bikine_line","SkinBehavior","Pubic","Character","Routinely shave bikine line","SkinBehavior",0.287458031530272
"38","Fo","Suffered_from_dry_skin_in_the_last_year_Yes","1",52,"0","Suffered_from_dry_skin_in_the_last_year_Yes1",0.870828357715915,0.0325007567589747,"Suffered_from_dry_skin_in_the_last_year","SkinDry","General","Character","Suffered from dry skin in the last year","SkinSubclinical",0.287458031530272
"39","Fo","Sensitive_skin_overall_Yes","1",69,"0","Sensitive_skin_overall_Yes1",0.839178735413936,0.0340285371401994,"Sensitive_skin_overall","SkinSensitivity","General","Character","Sensitive skin overall","SkinSubclinical",0.287458031530272
"40","Fo","Itchy_skin_overall_Yes","1",59,"0","Itchy_skin_overall_Yes1",0.811365851051744,0.0429083830008917,"Itchy_skin_overall","SkinItch","General","Character","Itchy skin overall","SkinSubclinical",0.287458031530272
"41","Fo","Gender_Female","1",103,"0","Gender_Female1",0.789565386646467,0.0565241653490372,"Gender","Demographic","Demographics","Character","Gender (Female)","Demographic",0.287458031530272
"42","Fo","Routinely_remove_body_hair_Yes","1",96,"0","Routinely_remove_body_hair_Yes1",0.788892233530879,0.0520717987813141,"Routinely_remove_body_hair","SkinBehavior","General","Character","Routinely remove body hair","SkinBehavior",0.287458031530272
"43","Fo","Irritation_tingling_1_to_10","NotApplicable",999,"NotApplicable","Irritation_tingling_1_to_10",0.399550020302486,0.0263670416638215,"Irritation_tingling_1_to_10","SkinIrritation","General","Numeric","Irritation tingling 1 to 10","SkinSubclinical",0.287458031530272
"44","Fo","Itchy_total_areas","NotApplicable",999,"NotApplicable","Itchy_total_areas",0.380916751190517,0.0217458679499808,"Itchy_total_areas","SkinItch","General","Numeric","Itchy total areas","SkinSubclinical",0.287458031530272
"45","Fo","Sensitive_total_areas","NotApplicable",999,"NotApplicable","Sensitive_total_areas",0.260793708211732,0.0574916063060543,"Sensitive_total_areas","SkinSensitivity","General","Numeric","Sensitive total areas","SkinSubclinical",0.287458031530272
"46","Fo","Itchy_skin_in_the_last_week_affecting_sleep_1_to_10","NotApplicable",999,"NotApplicable","Itchy_skin_in_the_last_week_affecting_sleep_1_to_10",0.213595613902386,0.0471212628006507,"Itchy_skin_in_the_last_week_affecting_sleep_1_to_10","SkinItch","General","Numeric","Itchy skin in the last week affecting sleep 1 to 10","SkinSubclinical",0.287458031530272
